plan_id,customer_id,merchant_id,product_type,num_installments,order_amount_usd,total_repayable_usd,apr_bps,created_at,status
59,27,18,pay_monthly_12,12,800.00,1007.04,2624,2025-12-17,active
60,27,31,pay_in_4,4,142.77,142.77,0,2026-01-22,paid_off
61,31,1,pay_monthly_6,6,239.84,259.76,1684,2026-01-09,active
62,31,56,pay_in_4,4,62.23,62.23,0,2025-12-01,paid_off
63,32,9,pay_in_3,3,1237.82,1237.82,0,2026-05-13,active
64,33,42,pay_monthly_6,6,148.47,165.06,2266,2026-05-10,active
65,33,46,pay_in_4,4,237.01,237.01,0,2026-03-27,paid_off
66,35,10,pay_monthly_6,6,267.28,288.41,1603,2025-12-11,paid_off
67,36,55,pay_in_3,3,212.32,212.32,0,2026-02-24,paid_off
68,37,36,pay_in_4,4,99.55,99.55,0,2026-03-13,paid_off
69,37,18,pay_in_4,4,407.51,407.51,0,2026-02-16,paid_off
70,37,24,pay_in_4,4,451.65,451.65,0,2026-01-24,paid_off
71,37,6,pay_in_4,4,132.32,132.32,0,2025-11-20,paid_off
72,38,56,pay_monthly_12,12,89.69,112.54,2583,2026-03-05,delinquent
73,38,38,pay_in_4,4,77.10,77.10,0,2026-04-17,paid_off
74,38,25,pay_in_4,4,299.32,299.32,0,2026-03-03,paid_off
75,39,39,pay_in_4,4,85.96,85.96,0,2025-10-05,defaulted
76,39,13,pay_in_4,4,400.48,400.48,0,2026-06-02,active
77,39,28,pay_in_4,4,419.86,419.86,0,2026-05-23,active
78,39,20,pay_in_4,4,700.00,700.00,0,2026-02-15,paid_off
79,39,2,pay_in_3,3,410.62,410.62,0,2025-10-04,paid_off
80,40,40,pay_monthly_6,6,208.87,228.76,1931,2026-06-04,active
81,40,15,pay_in_4,4,466.41,466.41,0,2026-05-17,active
82,40,10,pay_monthly_12,12,576.95,723.02,2567,2025-12-11,active
83,40,8,pay_monthly_6,6,278.24,311.64,2434,2025-12-16,paid_off
84,41,11,pay_in_4,4,773.58,773.58,0,2025-10-11,defaulted
85,41,51,pay_in_4,4,100.29,100.29,0,2025-04-02,paid_off
86,41,37,pay_in_3,3,57.34,57.34,0,2026-06-12,defaulted
87,42,49,pay_in_4,4,218.67,218.67,0,2025-11-26,paid_off
88,42,40,pay_in_4,4,151.97,151.97,0,2025-10-01,paid_off
89,43,46,pay_in_4,4,323.60,323.60,0,2026-02-22,paid_off
90,43,46,pay_in_4,4,284.09,284.09,0,2026-05-08,active
91,44,23,pay_in_4,4,905.80,905.80,0,2025-10-27,paid_off
92,44,24,pay_in_4,4,2900.00,2900.00,0,2025-04-25,paid_off
93,44,6,pay_in_4,4,419.49,419.49,0,2025-06-04,paid_off
94,44,35,pay_in_4,4,168.75,168.75,0,2026-02-18,paid_off
95,44,25,pay_in_4,4,690.26,690.26,0,2025-06-19,paid_off
96,44,34,pay_in_4,4,1379.48,1379.48,0,2026-05-06,active
97,45,12,pay_in_4,4,1020.40,1020.40,0,2025-08-05,paid_off
98,45,37,pay_monthly_6,6,199.05,223.09,2449,2025-08-21,paid_off
99,45,5,pay_in_3,3,282.09,282.09,0,2025-06-07,paid_off
100,46,42,pay_in_4,4,159.36,159.36,0,2025-05-09,paid_off
101,46,25,pay_in_3,3,859.82,859.82,0,2026-02-17,paid_off
102,47,27,pay_in_4,4,182.54,182.54,0,2025-12-14,paid_off
103,47,4,pay_monthly_12,12,207.51,269.69,3038,2026-04-22,active
104,48,37,pay_in_4,4,221.86,221.86,0,2026-05-23,active
105,48,24,pay_in_4,4,559.80,559.80,0,2026-05-03,delinquent
106,49,16,pay_monthly_6,6,366.63,408.59,2321,2026-03-10,active
107,49,26,pay_in_4,4,161.61,161.61,0,2026-04-28,active
108,49,24,pay_monthly_6,6,849.17,941.38,2202,2026-05-21,active
109,51,44,pay_in_4,4,272.33,272.33,0,2026-04-24,defaulted
110,51,54,pay_monthly_12,12,108.21,136.15,2618,2025-08-26,active
111,52,7,pay_monthly_6,6,515.69,574.61,2317,2026-02-11,active
112,54,3,pay_monthly_6,6,521.68,581.39,2321,2026-03-10,active
113,54,45,pay_in_4,4,162.23,162.23,0,2025-06-05,paid_off
114,55,39,pay_in_3,3,135.27,135.27,0,2025-01-22,paid_off
115,55,43,pay_monthly_6,6,530.67,572.96,1616,2026-01-21,active
116,55,55,pay_monthly_12,12,237.48,303.39,2814,2025-11-20,active
117,57,48,pay_in_4,4,512.85,512.85,0,2026-04-21,paid_off
118,60,10,pay_in_4,4,1260.52,1260.52,0,2025-05-01,delinquent
119,60,56,pay_in_4,4,110.80,110.80,0,2025-12-28,paid_off
120,60,43,pay_monthly_6,6,406.15,451.90,2284,2025-05-06,paid_off
121,61,45,pay_in_4,4,338.74,338.74,0,2026-03-26,paid_off
122,61,4,pay_monthly_6,6,363.13,407.08,2454,2026-05-03,active
123,62,10,pay_monthly_12,12,350.80,427.47,2216,2026-06-12,active
124,63,55,pay_in_4,4,74.13,74.13,0,2025-12-11,paid_off
125,63,50,pay_in_3,3,172.23,172.23,0,2025-09-03,paid_off
126,64,32,pay_in_3,3,438.22,438.22,0,2025-11-23,paid_off
127,64,36,pay_in_4,4,111.79,111.79,0,2025-08-02,paid_off
128,64,3,pay_monthly_6,6,370.81,414.39,2383,2025-07-26,paid_off
129,64,47,pay_monthly_12,12,733.02,953.09,3044,2025-10-17,active
130,65,39,pay_in_4,4,207.28,207.28,0,2026-06-09,active
131,65,4,pay_in_4,4,215.51,215.51,0,2026-05-27,active
132,65,53,pay_monthly_12,12,151.20,200.67,3317,2026-05-21,active
133,67,46,pay_in_3,3,442.67,442.67,0,2025-10-04,paid_off
134,67,26,pay_in_3,3,947.03,947.03,0,2026-06-08,active
135,67,54,pay_in_3,3,143.58,143.58,0,2026-06-11,active
136,67,25,pay_in_4,4,805.96,805.96,0,2026-03-02,paid_off
137,67,36,pay_monthly_6,6,179.83,199.80,2252,2025-06-11,paid_off
138,68,33,pay_monthly_6,6,488.22,526.57,1593,2025-12-28,defaulted
139,68,38,pay_in_4,4,202.10,202.10,0,2026-05-13,active
140,68,40,pay_in_3,3,83.94,83.94,0,2025-12-11,paid_off
141,70,22,pay_in_3,3,613.02,613.02,0,2026-03-23,paid_off
142,70,40,pay_in_3,3,160.82,160.82,0,2026-03-23,paid_off
143,70,34,pay_in_4,4,680.08,680.08,0,2026-05-08,active
144,71,13,pay_in_3,3,403.84,403.84,0,2026-03-04,paid_off
145,71,35,pay_monthly_6,6,146.87,162.27,2126,2026-06-10,active
146,71,37,pay_in_3,3,92.34,92.34,0,2026-05-26,delinquent
147,72,46,pay_in_4,4,135.50,135.50,0,2025-10-22,paid_off
148,72,53,pay_in_4,4,74.42,74.42,0,2026-01-16,paid_off
149,73,32,pay_in_4,4,346.62,346.62,0,2026-01-10,paid_off
150,73,42,pay_in_4,4,130.97,130.97,0,2025-07-01,paid_off
151,73,43,pay_in_4,4,319.38,319.38,0,2025-12-23,paid_off
152,73,19,pay_in_3,3,1250.00,1250.00,0,2025-12-06,paid_off
153,73,3,pay_in_4,4,113.08,113.08,0,2025-07-20,paid_off
154,73,53,pay_in_4,4,113.70,113.70,0,2025-04-09,paid_off
155,73,1,pay_in_4,4,421.03,421.03,0,2025-06-01,paid_off
156,74,56,pay_monthly_12,12,58.40,76.99,3228,2026-03-22,active
157,74,24,pay_in_4,4,3784.02,3784.02,0,2026-05-04,active
158,75,42,pay_in_4,4,102.64,102.64,0,2026-03-25,paid_off
159,75,3,pay_in_4,4,358.97,358.97,0,2025-08-07,paid_off
160,75,52,pay_monthly_6,6,115.03,126.16,1962,2025-11-12,paid_off
161,75,46,pay_in_4,4,366.95,366.95,0,2026-06-09,active
162,75,38,pay_in_4,4,296.94,296.94,0,2025-12-10,paid_off
163,75,18,pay_monthly_6,6,692.96,744.29,1502,2025-03-14,paid_off
164,75,44,pay_in_3,3,399.49,399.49,0,2026-05-19,active
165,76,51,pay_monthly_12,12,110.99,136.79,2357,2026-03-26,active
166,76,19,pay_in_4,4,1700.00,1700.00,0,2026-03-28,paid_off
167,76,46,pay_monthly_12,12,317.18,392.95,2422,2025-11-15,active
168,77,49,pay_in_4,4,231.69,231.69,0,2025-10-13,paid_off
169,79,36,pay_in_4,4,359.46,359.46,0,2025-06-25,paid_off
170,79,56,pay_monthly_12,12,141.61,188.41,3351,2025-07-15,active
171,79,14,pay_in_3,3,557.89,557.89,0,2025-09-19,paid_off
172,80,15,pay_in_4,4,898.51,898.51,0,2026-04-13,paid_off
173,80,39,pay_monthly_12,12,171.28,205.32,2015,2025-07-04,active
174,80,30,pay_in_3,3,425.52,425.52,0,2026-02-08,paid_off
175,80,18,pay_monthly_12,12,960.54,1254.80,3106,2026-06-01,active
176,81,41,pay_in_4,4,233.08,233.08,0,2026-04-27,paid_off
177,81,25,pay_monthly_6,6,461.96,520.85,2585,2026-02-28,active
178,82,48,pay_monthly_6,6,271.37,303.60,2408,2026-01-06,active
179,82,39,pay_in_3,3,124.63,124.63,0,2025-06-03,paid_off
180,83,34,pay_in_3,3,909.64,909.64,0,2026-04-04,defaulted
181,83,37,pay_monthly_6,6,145.41,160.99,2172,2025-06-26,paid_off
182,83,45,pay_monthly_6,6,143.90,159.93,2259,2025-04-25,paid_off
183,83,21,pay_monthly_6,6,687.98,759.53,2109,2026-03-19,active
184,84,37,pay_in_4,4,137.09,137.09,0,2025-10-15,paid_off
185,85,39,pay_in_4,4,159.89,159.89,0,2026-01-08,paid_off
186,85,56,pay_in_3,3,32.55,32.55,0,2026-06-14,active
187,88,32,pay_in_4,4,422.47,422.47,0,2025-12-08,defaulted
188,88,35,pay_monthly_6,6,161.88,179.14,2162,2026-01-11,active
189,90,34,pay_monthly_12,12,521.09,632.31,2164,2026-01-22,active
190,91,54,pay_in_3,3,97.08,97.08,0,2025-08-01,delinquent
191,95,15,pay_in_4,4,688.65,688.65,0,2026-04-13,paid_off
192,95,34,pay_monthly_12,12,502.15,625.77,2496,2025-12-14,active
193,99,54,pay_in_3,3,110.41,110.41,0,2026-03-22,paid_off
194,99,21,pay_in_4,4,744.86,744.86,0,2026-03-20,paid_off
195,99,49,pay_in_4,4,180.63,180.63,0,2025-12-19,paid_off
196,99,23,pay_in_4,4,622.37,622.37,0,2025-04-28,paid_off
197,99,20,pay_in_4,4,525.44,525.44,0,2025-12-03,paid_off
198,100,7,pay_monthly_6,6,193.47,215.68,2328,2026-05-16,active
199,101,14,pay_in_3,3,738.20,738.20,0,2026-05-16,active
200,101,4,pay_monthly_6,6,271.47,306.20,2594,2026-05-06,active
201,102,23,pay_in_4,4,1256.26,1256.26,0,2025-04-15,paid_off
202,102,19,pay_in_3,3,579.14,579.14,0,2025-12-02,paid_off
203,104,21,pay_in_3,3,1267.80,1267.80,0,2026-06-12,active
204,104,32,pay_monthly_12,12,564.57,728.50,2944,2026-02-11,active
205,104,41,pay_in_4,4,111.00,111.00,0,2025-09-25,paid_off
206,105,56,pay_in_4,4,102.70,102.70,0,2025-08-17,paid_off
207,105,9,pay_monthly_6,6,1660.79,1805.92,1772,2025-09-18,paid_off
208,106,23,pay_in_4,4,1450.00,1450.00,0,2026-03-20,paid_off
209,106,30,pay_monthly_12,12,766.06,1018.34,3339,2026-03-26,active
210,107,11,pay_in_4,4,1983.50,1983.50,0,2025-06-21,paid_off
211,107,8,pay_in_4,4,355.25,355.25,0,2025-06-06,paid_off
212,107,13,pay_in_4,4,697.63,697.63,0,2026-03-24,paid_off
213,108,36,pay_in_3,3,80.88,80.88,0,2026-06-03,active
214,109,28,pay_monthly_6,6,479.06,518.49,1669,2026-02-06,active
215,109,56,pay_in_4,4,128.01,128.01,0,2026-05-01,active
216,109,19,pay_in_3,3,985.26,985.26,0,2026-05-18,active
217,109,18,pay_in_4,4,1749.53,1749.53,0,2026-04-27,delinquent
218,109,23,pay_in_3,3,2550.00,2550.00,0,2025-12-13,paid_off
219,109,9,pay_in_3,3,293.97,293.97,0,2025-06-16,paid_off
220,110,15,pay_monthly_6,6,147.93,164.50,2272,2026-05-22,active
221,110,39,pay_in_4,4,111.96,111.96,0,2026-02-10,paid_off
222,110,16,pay_in_4,4,1208.73,1208.73,0,2026-02-27,delinquent
223,111,12,pay_in_3,3,422.21,422.21,0,2026-03-13,paid_off
224,111,43,pay_in_3,3,389.53,389.53,0,2025-10-04,paid_off
225,112,7,pay_in_4,4,307.10,307.10,0,2025-11-12,paid_off
226,112,1,pay_in_4,4,752.53,752.53,0,2026-04-24,paid_off
227,112,24,pay_monthly_6,6,822.55,900.11,1912,2026-01-27,active
228,112,35,pay_in_3,3,119.87,119.87,0,2025-08-23,delinquent
229,112,36,pay_in_4,4,78.40,78.40,0,2026-02-08,paid_off
230,113,34,pay_in_3,3,539.70,539.70,0,2026-02-16,paid_off
231,113,1,pay_in_3,3,108.55,108.55,0,2026-06-13,active
232,113,30,pay_monthly_6,6,138.52,154.74,2375,2026-01-24,active
233,113,30,pay_in_3,3,521.04,521.04,0,2025-09-25,paid_off
234,113,43,pay_in_3,3,243.32,243.32,0,2026-04-24,active
235,115,10,pay_in_4,4,811.34,811.34,0,2026-01-11,paid_off
236,115,39,pay_in_3,3,213.36,213.36,0,2025-08-27,paid_off
237,115,8,pay_in_3,3,534.98,534.98,0,2025-07-21,paid_off
238,116,46,pay_monthly_6,6,265.98,289.56,1798,2026-02-25,active
239,116,50,pay_in_3,3,74.96,74.96,0,2026-03-05,paid_off
240,116,54,pay_in_4,4,49.59,49.59,0,2025-08-01,paid_off
241,116,33,pay_in_4,4,609.67,609.67,0,2025-09-06,paid_off
242,117,7,pay_in_4,4,194.67,194.67,0,2026-03-18,paid_off
243,117,49,pay_monthly_6,6,212.16,232.19,1914,2025-11-17,paid_off
244,117,37,pay_monthly_12,12,190.19,243.76,2856,2026-02-13,active
245,117,20,pay_in_4,4,2157.21,2157.21,0,2026-02-28,paid_off
246,119,38,pay_in_3,3,244.39,244.39,0,2025-10-18,paid_off
247,119,33,pay_monthly_6,6,284.11,312.65,2037,2025-03-26,paid_off
248,119,51,pay_monthly_6,6,117.61,128.07,1803,2026-05-19,active
249,120,8,pay_in_4,4,323.85,323.85,0,2026-06-07,active
250,120,15,pay_monthly_12,12,430.38,559.21,3035,2025-11-16,active
251,121,36,pay_monthly_6,6,100.41,110.84,2106,2026-02-23,active
252,121,28,pay_monthly_6,6,535.54,596.60,2312,2025-11-24,paid_off
253,121,42,pay_in_4,4,150.45,150.45,0,2025-07-26,paid_off
254,122,33,pay_monthly_12,12,1125.71,1489.55,3277,2026-03-11,active
255,122,37,pay_in_3,3,152.69,152.69,0,2026-03-22,paid_off
256,122,6,pay_in_4,4,193.25,193.25,0,2025-10-10,paid_off
257,122,20,pay_in_3,3,1363.94,1363.94,0,2026-01-03,paid_off
258,122,10,pay_monthly_6,6,373.16,415.56,2304,2026-04-08,active
259,123,28,pay_in_4,4,229.65,229.65,0,2026-04-22,paid_off
260,123,10,pay_in_4,4,845.78,845.78,0,2025-12-23,paid_off
261,124,41,pay_in_3,3,199.39,199.39,0,2026-03-25,active
262,124,46,pay_in_3,3,319.36,319.36,0,2026-03-10,paid_off
263,125,15,pay_monthly_6,6,249.07,272.98,1947,2026-05-22,active
264,125,5,pay_in_3,3,323.05,323.05,0,2025-12-17,paid_off
265,125,21,pay_in_4,4,1239.77,1239.77,0,2026-05-16,active
266,125,15,pay_monthly_6,6,1317.00,1447.42,2008,2025-12-16,paid_off
267,125,18,pay_monthly_12,12,649.97,795.43,2269,2026-02-01,active
268,125,23,pay_in_4,4,907.36,907.36,0,2026-01-13,paid_off
269,125,30,pay_in_4,4,828.33,828.33,0,2025-09-03,paid_off
270,126,52,pay_in_4,4,156.99,156.99,0,2025-05-21,paid_off
271,126,4,pay_in_4,4,548.27,548.27,0,2025-09-22,paid_off
272,126,54,pay_monthly_6,6,107.70,116.63,1681,2025-10-19,paid_off
273,126,39,pay_monthly_12,12,163.90,206.53,2637,2025-09-08,active
274,126,45,pay_in_4,4,132.24,132.24,0,2025-12-18,paid_off
275,127,2,pay_in_3,3,245.37,245.37,0,2026-03-28,active
276,128,32,pay_in_4,4,256.70,256.70,0,2026-05-16,active
277,129,48,pay_in_4,4,351.82,351.82,0,2025-10-13,paid_off
278,129,47,pay_monthly_6,6,359.65,387.67,1580,2026-06-12,active
279,129,42,pay_in_3,3,106.89,106.89,0,2025-12-26,paid_off
280,133,12,pay_in_4,4,653.98,653.98,0,2026-03-12,paid_off
281,134,21,pay_in_4,4,605.40,605.40,0,2026-03-13,paid_off
282,135,46,pay_in_4,4,781.00,781.00,0,2026-06-04,active
283,135,48,pay_monthly_6,6,349.69,388.54,2253,2025-07-14,paid_off
284,137,11,pay_monthly_6,6,899.68,1000.44,2271,2025-08-10,paid_off
285,137,50,pay_monthly_6,6,104.99,116.39,2202,2025-04-29,paid_off
286,137,4,pay_in_4,4,549.69,549.69,0,2026-03-02,paid_off
287,137,21,pay_in_4,4,491.54,491.54,0,2025-10-01,paid_off
288,138,1,pay_in_4,4,413.79,413.79,0,2026-05-13,active
289,138,26,pay_in_4,4,195.52,195.52,0,2026-04-19,paid_off
290,138,7,pay_monthly_6,6,249.70,275.12,2064,2025-12-29,active
291,143,13,pay_in_4,4,974.15,974.15,0,2026-06-07,active
292,143,51,pay_in_3,3,113.33,113.33,0,2025-09-09,paid_off
293,144,45,pay_monthly_6,6,118.48,130.11,1990,2025-10-13,paid_off
294,144,30,pay_in_4,4,554.21,554.21,0,2026-03-27,paid_off
295,144,28,pay_monthly_12,12,902.34,1095.02,2165,2026-03-02,active
296,145,6,pay_monthly_12,12,509.37,670.84,3214,2026-03-24,active
297,145,7,pay_monthly_6,6,564.32,621.95,2071,2026-02-24,active
298,145,37,pay_in_4,4,77.66,77.66,0,2026-04-12,paid_off
299,146,19,pay_in_4,4,802.08,802.08,0,2026-02-03,defaulted
300,146,40,pay_monthly_6,6,204.68,229.54,2463,2026-06-03,active
301,146,30,pay_in_4,4,393.63,393.63,0,2026-06-06,active
302,148,44,pay_in_4,4,203.99,203.99,0,2026-05-02,active
303,149,37,pay_in_4,4,211.46,211.46,0,2026-01-28,defaulted
304,149,21,pay_in_4,4,1539.50,1539.50,0,2026-03-16,defaulted
305,149,12,pay_in_4,4,601.14,601.14,0,2025-07-05,paid_off
306,150,21,pay_in_4,4,1507.72,1507.72,0,2025-09-11,paid_off
307,150,41,pay_monthly_6,6,215.48,242.12,2507,2025-11-28,paid_off
308,150,7,pay_in_4,4,154.52,154.52,0,2025-10-24,defaulted
309,152,52,pay_in_4,4,71.71,71.71,0,2026-05-01,active
310,152,38,pay_in_4,4,84.05,84.05,0,2025-10-22,paid_off
311,152,19,pay_monthly_6,6,703.06,777.78,2155,2025-07-27,paid_off
312,152,39,pay_monthly_6,6,81.31,91.31,2495,2026-05-25,active
313,153,30,pay_in_4,4,198.78,198.78,0,2025-11-17,paid_off
314,153,26,pay_in_4,4,427.46,427.46,0,2026-03-01,paid_off
315,153,30,pay_in_4,4,666.42,666.42,0,2026-01-09,paid_off
316,153,12,pay_in_4,4,836.28,836.28,0,2026-05-21,active
317,154,12,pay_in_4,4,1652.95,1652.95,0,2026-06-10,active
318,154,1,pay_in_4,4,275.54,275.54,0,2025-08-22,paid_off
319,154,24,pay_in_4,4,1094.31,1094.31,0,2026-01-13,paid_off
320,154,5,pay_in_3,3,206.65,206.65,0,2025-07-16,paid_off
321,155,15,pay_in_3,3,369.10,369.10,0,2025-03-23,paid_off
322,155,15,pay_monthly_6,6,935.51,1025.33,1947,2025-02-14,paid_off
323,155,31,pay_in_4,4,635.21,635.21,0,2025-03-25,paid_off
324,155,1,pay_monthly_6,6,210.28,229.59,1862,2025-12-06,defaulted
325,156,4,pay_monthly_6,6,514.36,552.54,1505,2026-02-11,active
326,156,36,pay_in_4,4,159.83,159.83,0,2025-04-21,paid_off
327,156,39,pay_in_4,4,108.47,108.47,0,2025-10-11,paid_off
328,156,45,pay_in_4,4,143.99,143.99,0,2025-06-05,paid_off
329,159,41,pay_in_3,3,273.27,273.27,0,2026-05-19,active
330,160,32,pay_in_3,3,900.00,900.00,0,2025-12-28,defaulted
331,160,33,pay_in_4,4,552.69,552.69,0,2026-05-24,active
332,161,35,pay_in_3,3,104.76,104.76,0,2025-10-28,paid_off
333,161,35,pay_in_4,4,134.42,134.42,0,2026-04-18,paid_off
334,161,37,pay_in_3,3,92.80,92.80,0,2026-05-21,active
335,161,47,pay_monthly_6,6,197.69,221.25,2417,2025-09-01,paid_off
336,161,39,pay_in_3,3,195.13,195.13,0,2025-08-16,paid_off
337,163,29,pay_monthly_6,6,275.61,299.00,1721,2025-12-25,active
338,163,25,pay_in_4,4,1332.10,1332.10,0,2025-11-17,paid_off
339,163,46,pay_monthly_6,6,124.23,136.65,2027,2026-01-18,active
340,164,24,pay_in_4,4,1450.00,1450.00,0,2025-01-23,paid_off
341,164,24,pay_in_4,4,730.42,730.42,0,2025-12-27,delinquent
342,164,25,pay_in_4,4,1284.52,1284.52,0,2025-10-08,paid_off
343,164,52,pay_in_3,3,70.06,70.06,0,2025-06-07,paid_off
344,164,18,pay_in_4,4,836.72,836.72,0,2025-11-14,defaulted
345,164,49,pay_in_3,3,64.08,64.08,0,2026-05-01,delinquent
346,167,38,pay_monthly_6,6,110.50,123.72,2426,2025-08-19,paid_off
347,167,19,pay_monthly_12,12,1878.54,2294.87,2247,2025-11-01,active
348,167,43,pay_in_3,3,290.65,290.65,0,2026-02-07,paid_off
349,168,51,pay_in_4,4,131.24,131.24,0,2026-01-28,defaulted
350,168,33,pay_in_4,4,457.93,457.93,0,2025-06-19,defaulted
351,168,18,pay_in_4,4,1600.00,1600.00,0,2026-03-15,paid_off
352,168,33,pay_monthly_6,6,449.78,501.84,2347,2026-03-02,active
353,168,51,pay_in_4,4,104.96,104.96,0,2025-12-21,delinquent
354,169,29,pay_monthly_6,6,527.88,576.64,1873,2025-10-20,paid_off
355,169,43,pay_monthly_12,12,209.34,260.81,2493,2026-05-09,active
356,170,12,pay_in_4,4,357.87,357.87,0,2025-05-09,paid_off
357,170,33,pay_in_4,4,1104.40,1104.40,0,2025-06-07,paid_off
358,170,44,pay_monthly_6,6,289.53,317.87,1985,2026-03-14,active
359,170,32,pay_in_4,4,531.34,531.34,0,2025-10-02,paid_off
360,170,46,pay_monthly_12,12,389.47,506.55,3048,2026-05-03,active
361,170,55,pay_in_4,4,54.19,54.19,0,2025-02-01,paid_off
362,171,40,pay_in_4,4,231.13,231.13,0,2025-09-30,paid_off
363,172,46,pay_in_4,4,283.97,283.97,0,2025-03-21,paid_off
364,172,12,pay_monthly_12,12,324.72,392.23,2108,2025-11-12,active
365,172,36,pay_in_4,4,74.94,74.94,0,2026-02-28,paid_off
366,172,11,pay_in_4,4,1272.93,1272.93,0,2025-03-05,paid_off
367,173,41,pay_in_4,4,98.56,98.56,0,2026-04-03,paid_off
368,173,14,pay_monthly_6,6,657.62,732.15,2298,2025-10-04,delinquent
369,173,52,pay_monthly_6,6,80.54,90.09,2404,2026-01-12,defaulted
370,173,24,pay_in_3,3,1400.00,1400.00,0,2025-08-26,paid_off
371,175,38,pay_in_4,4,187.85,187.85,0,2025-10-04,paid_off
372,175,36,pay_in_3,3,308.46,308.46,0,2025-12-02,paid_off
373,175,33,pay_in_4,4,446.30,446.30,0,2025-09-14,paid_off
