customer_id,signup_at,region,risk_band,credit_limit_usd,status,is_confirmed_fraud
338,2025-11-17,EU,C,1950,active,False
339,2025-05-27,NA,B,3850,active,False
340,2025-05-06,EU,D,900,active,False
341,2025-01-29,NA,C,2450,active,False
342,2025-09-03,NA,A,3950,defaulted,False
343,2025-06-30,EU,B,2600,active,False
344,2025-03-01,NA,B,2400,active,False
345,2025-02-21,NA,C,2150,active,False
346,2025-01-23,NA,A,3600,active,False
347,2026-04-10,EU,A,4650,active,False
348,2025-03-27,NA,C,1700,defaulted,False
349,2026-05-12,EU,C,1600,active,False
350,2025-11-10,APAC,A,3100,active,False
351,2025-09-16,EU,B,2500,active,False
352,2025-05-16,LATAM,C,1900,active,False
353,2025-07-02,EU,A,3150,active,True
354,2026-03-12,EU,D,1500,active,False
355,2026-03-22,EU,B,2650,active,False
356,2026-05-12,NA,D,900,defaulted,True
357,2025-01-29,LATAM,D,900,active,False
358,2025-12-29,NA,B,3150,active,False
359,2026-04-05,EU,C,2300,active,False
360,2025-01-29,NA,A,4600,active,False
361,2026-04-05,EU,A,3400,active,False
362,2026-01-20,APAC,B,2150,active,False
363,2025-11-05,NA,D,1550,active,False
364,2025-04-02,APAC,C,2000,active,False
365,2025-06-07,NA,C,2700,active,False
366,2025-05-26,EU,A,4750,defaulted,False
367,2025-08-23,NA,A,4450,active,False
368,2025-10-26,NA,E,850,active,False
369,2025-10-29,NA,C,1750,active,False
370,2025-10-30,APAC,C,2650,active,False
371,2026-03-30,EU,C,1500,active,False
372,2025-02-05,NA,A,4950,active,False
373,2025-07-07,APAC,A,4550,active,False
374,2025-03-07,EU,C,1750,active,False
375,2025-02-08,APAC,B,3150,active,False
376,2025-05-15,NA,D,1600,active,False
377,2025-05-19,APAC,D,1400,active,False
378,2025-05-16,EU,C,1500,active,False
379,2025-07-07,NA,B,3700,active,False
380,2025-01-31,EU,B,2950,active,False
381,2025-02-05,NA,A,5200,active,False
382,2025-05-31,NA,B,2750,active,False
383,2025-02-22,NA,A,4800,active,False
384,2025-04-27,EU,C,1750,active,False
385,2025-11-20,LATAM,C,2050,active,False
386,2026-01-05,LATAM,A,3850,active,False
387,2025-11-03,EU,B,3150,active,False
388,2026-03-11,NA,C,1650,active,False
389,2025-01-22,NA,A,2950,active,False
390,2025-01-17,NA,B,3550,defaulted,False
391,2025-10-28,APAC,C,1750,active,False
392,2025-03-04,LATAM,B,3950,active,False
393,2026-03-06,EU,A,3650,active,False
394,2025-03-25,APAC,E,650,defaulted,False
395,2025-02-03,APAC,A,3350,active,False
396,2026-04-11,LATAM,A,5350,active,False
397,2025-09-14,APAC,A,3000,active,False
398,2025-10-26,EU,C,1800,active,False
399,2026-02-07,APAC,B,3000,active,False
400,2026-04-02,EU,B,2500,active,False
401,2025-03-20,EU,E,800,active,False
402,2025-07-29,NA,A,3050,active,False
403,2025-01-01,EU,C,1800,active,False
404,2025-08-16,EU,B,3400,active,False
405,2025-05-14,LATAM,D,1550,defaulted,False
406,2025-07-26,EU,C,1700,active,False
407,2025-01-10,NA,B,2850,active,False
408,2025-09-12,NA,C,2450,active,False
409,2025-07-26,NA,A,4450,active,False
410,2025-10-23,NA,B,3550,defaulted,False
411,2025-02-27,NA,B,3500,active,False
412,2025-06-05,EU,A,4300,active,False
413,2025-07-08,EU,C,1450,active,False
414,2025-05-18,APAC,B,2400,active,False
415,2025-04-27,EU,B,2750,active,False
416,2025-07-05,EU,B,3050,active,False
417,2025-04-11,NA,B,4050,active,False
418,2025-11-12,NA,C,2600,active,False
419,2025-12-19,NA,B,3150,defaulted,False
420,2025-07-09,EU,D,1500,active,False
421,2026-04-03,EU,C,1500,active,False
422,2026-03-10,APAC,B,3150,active,False
423,2026-04-11,LATAM,D,950,active,False
424,2026-03-13,NA,B,3750,active,False
425,2025-05-20,EU,A,3150,active,False
426,2025-12-29,EU,A,4050,active,False
427,2026-02-01,LATAM,D,1300,active,False
428,2026-01-09,APAC,B,3250,active,True
429,2026-03-07,EU,B,2400,active,False
430,2025-04-24,NA,B,2600,active,False
431,2025-05-07,EU,A,4450,active,False
432,2025-02-03,APAC,B,3500,active,False
433,2026-05-24,EU,A,2800,active,False
434,2025-07-14,NA,D,1500,active,False
435,2025-07-14,NA,B,4150,active,False
436,2025-12-05,NA,A,4250,active,False
437,2025-08-27,EU,B,2700,active,False
438,2025-06-04,NA,E,550,active,False
439,2025-01-28,NA,D,1450,defaulted,False
440,2025-07-03,APAC,C,1750,defaulted,False
441,2026-01-25,EU,C,1550,active,False
442,2025-02-12,LATAM,E,500,defaulted,False
443,2025-02-01,NA,A,4250,active,False
444,2025-08-13,LATAM,C,2250,active,False
445,2025-08-21,APAC,A,3750,active,False
446,2025-03-21,EU,B,2900,active,False
447,2025-03-15,EU,B,3150,active,False
448,2025-10-03,NA,A,3100,active,False
449,2025-07-18,NA,C,2200,active,False
450,2026-05-30,NA,B,4100,active,False
451,2026-03-15,NA,A,3450,active,False
452,2025-01-27,EU,A,3900,active,False
453,2025-08-02,LATAM,A,5450,active,False
454,2025-06-24,EU,B,2650,active,False
455,2026-04-29,LATAM,D,1150,active,False
456,2025-09-27,EU,B,3700,active,False
457,2026-01-22,EU,A,2800,active,False
458,2025-07-01,NA,B,2650,active,True
459,2025-04-25,LATAM,E,900,active,False
460,2025-11-19,NA,C,1600,active,False
461,2025-08-08,APAC,A,5000,active,False
462,2025-05-28,NA,B,2850,active,False
463,2026-01-23,NA,B,3950,active,False
464,2025-11-17,NA,D,1100,defaulted,False
465,2026-05-12,APAC,E,500,active,False
466,2025-04-04,NA,A,3350,active,False
467,2025-04-29,APAC,B,3800,active,False
468,2025-04-06,APAC,C,2450,active,False
469,2025-09-07,EU,B,2250,active,False
470,2025-10-05,EU,A,5400,active,False
471,2025-06-30,LATAM,D,850,defaulted,False
472,2025-09-13,APAC,D,1350,active,False
473,2026-01-18,NA,A,3200,active,False
474,2025-05-07,EU,A,3750,active,False
475,2025-12-16,NA,C,2650,active,False
476,2025-04-28,NA,C,1550,active,False
477,2026-03-06,NA,D,900,active,False
478,2025-08-23,APAC,C,2100,active,False
479,2025-11-03,NA,B,3200,active,False
480,2026-05-26,APAC,B,2350,active,False
481,2025-03-26,APAC,B,2750,active,True
482,2026-05-03,NA,C,1850,active,False
483,2025-12-05,APAC,A,4350,active,False
484,2025-07-15,EU,A,3450,active,False
485,2026-01-05,EU,A,2900,active,False
486,2025-03-11,NA,A,4100,active,False
487,2025-12-26,EU,E,500,active,False
488,2025-08-11,NA,A,4800,active,False
489,2026-02-01,NA,C,1600,active,False
490,2025-09-26,EU,B,2200,active,False
491,2025-03-27,NA,C,2150,active,False
492,2025-07-25,NA,A,3700,active,False
493,2026-03-23,NA,C,2200,active,False
494,2025-10-17,EU,D,900,active,False
495,2025-12-18,APAC,A,4450,active,False
496,2025-11-13,NA,C,2400,active,False
497,2025-04-01,EU,C,1450,active,False
498,2025-08-17,NA,B,2500,active,False
499,2025-12-28,NA,A,4500,active,False
500,2025-10-02,APAC,E,650,defaulted,False
501,2025-03-26,APAC,C,1650,active,False
502,2025-07-22,NA,C,2450,active,False
503,2025-08-17,EU,C,2750,active,False
504,2025-09-26,APAC,C,2500,active,False
505,2026-05-18,NA,C,2250,active,False
506,2026-05-03,NA,A,5150,active,False
507,2026-01-13,EU,B,2950,active,False
508,2025-05-28,APAC,B,2300,active,False
509,2025-10-03,EU,B,3500,active,False
510,2026-05-27,EU,A,3400,active,False
511,2025-05-22,LATAM,C,2450,defaulted,False
512,2025-01-11,NA,D,1450,defaulted,False
513,2025-03-18,NA,C,1850,active,False
514,2025-04-18,EU,E,750,active,False
515,2025-01-05,NA,D,1350,active,False
516,2025-07-26,NA,D,1300,active,False
517,2026-05-25,NA,B,2950,active,True
518,2026-03-02,NA,B,2700,active,False
519,2026-02-18,NA,C,2750,active,False
520,2026-05-19,EU,C,1550,defaulted,False
521,2025-07-04,NA,D,850,active,False
522,2025-04-18,NA,A,3150,active,False
523,2025-11-27,EU,D,950,active,False
524,2026-04-11,APAC,D,1150,active,False
525,2025-10-26,NA,B,2100,active,False
526,2025-10-16,EU,D,1550,defaulted,False
527,2025-08-14,NA,B,2400,active,False
528,2025-09-20,NA,D,1100,defaulted,False
529,2026-01-04,APAC,B,2950,active,False
530,2025-08-05,NA,D,1000,defaulted,False
531,2026-04-25,APAC,C,1550,active,False
532,2025-04-11,EU,A,4850,active,False
533,2025-12-09,NA,B,3750,active,False
534,2025-12-24,NA,C,1950,active,False
535,2026-01-15,NA,C,1650,active,False
536,2025-10-20,EU,C,2500,defaulted,False
537,2025-12-07,APAC,D,1100,active,False
538,2025-05-09,NA,D,850,active,False
539,2025-07-15,NA,A,5050,active,False
540,2026-03-31,NA,A,3500,active,False
541,2025-03-15,NA,A,3250,active,False
542,2025-07-27,NA,E,600,active,False
543,2025-02-06,NA,A,2800,active,False
544,2026-02-19,NA,C,2650,active,False
545,2025-01-15,NA,E,550,defaulted,False
546,2025-12-21,EU,C,1650,defaulted,False
547,2026-02-08,EU,B,2850,active,False
548,2025-05-02,APAC,C,2200,active,False
549,2026-04-07,EU,B,3950,active,False
550,2026-01-05,NA,A,5250,active,False
551,2025-10-05,NA,C,1900,defaulted,False
552,2025-11-06,NA,C,1950,active,False
553,2026-03-31,APAC,C,2550,active,False
554,2025-09-14,NA,C,1950,active,False
555,2025-01-08,NA,E,750,active,False
556,2025-09-21,APAC,B,2600,active,False
557,2025-07-11,NA,B,3200,active,False
558,2025-09-17,LATAM,B,3300,active,False
559,2025-06-02,EU,B,3800,defaulted,False
560,2025-08-17,NA,D,1100,defaulted,False
561,2025-03-08,EU,C,2550,active,False
562,2025-08-01,NA,B,2850,active,False
563,2025-12-09,NA,B,4100,active,False
564,2025-11-30,NA,C,2550,active,False
565,2025-01-19,NA,C,1850,defaulted,False
566,2025-07-09,EU,E,850,active,False
567,2025-03-14,NA,D,1350,defaulted,False
568,2025-02-19,APAC,C,2600,defaulted,False
569,2026-05-24,APAC,C,2650,active,False
570,2025-04-11,EU,A,4200,active,False
571,2025-07-01,NA,C,1450,defaulted,False
572,2025-08-27,APAC,C,1500,active,False
573,2025-02-07,EU,A,3000,active,False
574,2025-06-08,LATAM,B,3250,active,False
575,2025-02-27,NA,C,2200,active,False
576,2025-11-01,NA,D,1650,active,False
577,2025-07-05,NA,B,2450,active,False
578,2025-08-15,NA,A,3800,active,False
579,2025-12-19,APAC,D,1550,active,False
580,2026-01-06,NA,C,2250,active,False
581,2025-09-08,APAC,A,4550,active,False
582,2025-02-21,EU,A,5050,active,False
583,2026-05-25,APAC,E,900,active,False
584,2025-12-13,NA,C,2300,active,False
585,2026-02-01,NA,B,3450,active,False
586,2026-02-28,APAC,D,1500,active,False
587,2026-04-30,NA,B,3600,active,False
588,2025-05-22,NA,C,1450,active,False
589,2025-12-14,NA,B,3500,active,False
590,2025-04-12,NA,A,3650,active,False
591,2025-05-18,NA,C,1450,active,False
592,2026-05-18,EU,A,4600,active,False
593,2026-03-26,APAC,D,1200,active,False
594,2025-03-24,EU,A,4900,active,False
595,2026-03-12,NA,D,1000,active,False
596,2025-05-11,NA,C,2400,active,False
597,2025-08-11,APAC,C,1850,active,False
598,2025-01-20,LATAM,C,1650,defaulted,False
599,2025-05-06,NA,D,1250,active,False
600,2025-06-10,NA,B,3550,active,False
601,2026-04-05,EU,C,2200,active,False
602,2025-01-15,NA,B,3600,active,False
603,2025-03-13,NA,C,2750,defaulted,False
604,2026-01-01,APAC,A,4100,active,False
605,2025-03-10,NA,D,1550,defaulted,False
606,2026-05-12,LATAM,B,2350,active,False
607,2025-12-23,NA,A,4600,active,False
608,2025-06-01,NA,C,1500,active,False
609,2025-10-18,NA,A,3450,active,False
610,2026-03-23,NA,C,2200,active,False
611,2025-05-17,APAC,B,2300,defaulted,False
612,2025-08-16,NA,B,3900,active,False
613,2026-03-20,NA,C,2200,active,False
614,2025-12-03,NA,A,3700,active,False
615,2025-06-25,EU,A,3850,active,False
616,2026-02-22,LATAM,A,5450,active,False
617,2025-05-18,EU,B,2850,active,False
618,2026-04-20,NA,C,2650,active,False
619,2026-03-18,NA,D,1150,active,False
620,2025-03-17,EU,B,3450,active,False
621,2025-02-21,LATAM,A,4850,active,False
622,2025-10-02,NA,D,850,active,False
623,2025-10-17,NA,C,1800,active,False
624,2025-06-08,LATAM,B,2450,active,False
625,2026-04-26,LATAM,D,1200,active,False
626,2025-07-18,EU,C,2550,active,False
627,2025-03-16,EU,A,3150,active,False
628,2025-10-29,EU,A,3250,active,False
629,2025-07-12,NA,B,3650,active,False
630,2025-06-10,NA,C,1900,active,False
631,2025-08-23,EU,C,2100,defaulted,False
632,2026-05-21,NA,A,3500,active,False
633,2025-03-16,APAC,D,850,active,False
634,2025-12-24,NA,B,2150,active,False
635,2025-08-16,LATAM,A,3150,active,False
636,2025-08-18,EU,D,1300,defaulted,False
637,2025-08-05,APAC,B,3600,active,False
638,2025-09-18,LATAM,A,3850,active,False
639,2025-01-10,EU,A,4600,active,False
640,2025-07-07,NA,D,1400,active,False
641,2025-01-15,NA,E,700,defaulted,False
642,2025-06-04,EU,A,4800,active,False
643,2025-10-24,EU,D,1350,active,False
644,2026-01-28,NA,E,800,active,False
